,j,eql,eqv,gol,gov
0,1,Tijuana,Morelia,2,0
1,1,Queretaro,Veracruz,2,0
2,1,Monterrey,Puebla,1,1
3,1,Atlas,Toluca,1,1
4,1,Pachuca,Leon,5,1
5,1,Necaxa,Cruz Azul,0,0
6,1,America,Chiapas FC,2,0
7,1,UNAM,Guadalajara,1,0
8,1,Santos,Tigres,0,0
9,2,Veracruz,Santos,2,0
10,2,Chiapas FC,Pachuca,0,2
11,2,Cruz Azul,UNAM,0,0
12,2,Tigres,Atlas,0,0
13,2,Morelia,Queretaro,2,2
14,2,Leon,Necaxa,0,0
15,2,Guadalajara,Monterrey,1,0
16,2,America,Toluca,3,1
17,2,Puebla,Tijuana,3,2
18,3,Tijuana,Guadalajara,4,0
19,3,Queretaro,Puebla,2,1
20,3,Monterrey,Cruz Azul,1,1
21,3,Atlas,Veracruz,1,0
22,3,Pachuca,Necaxa,1,0
23,3,America,Tigres,0,3
24,3,UNAM,Leon,1,0
25,3,Chiapas FC,Toluca,1,0
26,3,Santos,Morelia,2,4
27,4,Cruz Azul,Tijuana,1,2
28,4,Morelia,Atlas,3,2
29,4,Tigres,Chiapas FC,1,0
30,4,Leon,Monterrey,0,3
31,4,Veracruz,America,2,4
32,4,Necaxa,UNAM,2,2
33,4,Guadalajara,Queretaro,0,0
34,4,Toluca,Pachuca,2,0
35,4,Puebla,Santos,0,0
36,5,Tijuana,Leon,2,0
37,5,Queretaro,Cruz Azul,0,0
38,5,Monterrey,Necaxa,2,1
39,5,Atlas,Puebla,3,2
40,5,Pachuca,UNAM,3,0
41,5,America,Morelia,1,1
42,5,Toluca,Tigres,0,0
43,5,Chiapas FC,Veracruz,1,1
44,5,Santos,Guadalajara,0,1
45,6,Veracruz,Toluca,2,2
46,6,Cruz Azul,Santos,3,1
47,6,Tigres,Pachuca,4,2
48,6,Morelia,Chiapas FC,3,2
49,6,Leon,Queretaro,2,1
50,6,Necaxa,Tijuana,1,1
51,6,Guadalajara,Atlas,2,2
52,6,UNAM,Monterrey,5,3
53,6,Puebla,America,2,2
54,7,Tijuana,UNAM,1,0
55,7,Queretaro,Necaxa,1,2
56,7,Tigres,Veracruz,1,1
57,7,Atlas,Cruz Azul,1,1
58,7,Pachuca,Monterrey,1,1
59,7,America,Guadalajara,0,3
60,7,Toluca,Morelia,2,2
61,7,Chiapas FC,Puebla,0,3
62,7,Santos,Leon,1,0
