,ds,team,t,j,elo
31,1996-08-09,UAG,1,1,1490.0
32,1996-08-09,Atlas,1,1,1510.0
33,1996-08-10,Celaya,1,1,1500.0
34,1996-08-10,Monterrey,1,1,1500.0
35,1996-08-10,Cruz Azul,1,1,1510.0
36,1996-08-10,Toros Neza,1,1,1490.0
37,1996-08-10,Puebla,1,1,1510.0
38,1996-08-10,Toluca,1,1,1490.0
39,1996-08-11,Guadalajara,1,1,1510.0
40,1996-08-11,UNAM,1,1,1490.0
41,1996-08-11,Morelia,1,1,1500.0
42,1996-08-11,Leon,1,1,1500.0
43,1996-08-11,Pachuca,1,1,1500.0
44,1996-08-11,Necaxa,1,1,1500.0
45,1996-08-11,Santos,1,1,1510.0
46,1996-08-11,America,1,1,1490.0
47,1996-08-11,Atlante,1,1,1510.0
48,1996-08-11,Veracruz,1,1,1490.0
49,1996-08-16,Monterrey,1,2,1490.28774368332
50,1996-08-16,Santos,1,2,1519.71225631668
51,1996-08-17,Leon,1,2,1500.28774368332
52,1996-08-17,Guadalajara,1,2,1509.71225631668
53,1996-08-17,Toluca,1,2,1500.0
54,1996-08-17,UAG,1,2,1480.0
55,1996-08-17,Necaxa,1,2,1490.28774368332
56,1996-08-17,Atlante,1,2,1519.71225631668
57,1996-08-17,Veracruz,1,2,1490.28774368332
58,1996-08-17,Celaya,1,2,1499.71225631668
59,1996-08-18,Atlas,1,2,1519.71225631668
60,1996-08-18,Pachuca,1,2,1490.28774368332
61,1996-08-18,Toros Neza,1,2,1480.5750112778453
62,1996-08-18,Puebla,1,2,1519.4249887221547
63,1996-08-18,UNAM,1,2,1480.5750112778453
64,1996-08-18,Cruz Azul,1,2,1519.4249887221547
65,1996-08-20,America,1,2,1500.28774368332
66,1996-08-20,Morelia,1,2,1489.71225631668
67,1996-08-24,Puebla,1,3,1528.3114337474124
68,1996-08-24,UNAM,1,3,1471.6885662525876
69,1996-08-24,Monterrey,1,3,1500.28774368332
70,1996-08-24,Veracruz,1,3,1480.28774368332
71,1996-08-24,UAG,1,3,1470.0165501398476
72,1996-08-24,Toros Neza,1,3,1490.5584611379977
73,1996-08-24,Cruz Azul,1,3,1518.874730907518
74,1996-08-24,Leon,1,3,1500.8380014979568
75,1996-08-25,Guadalajara,1,3,1519.4410635506772
76,1996-08-25,America,1,3,1490.5589364493228
77,1996-08-25,Pachuca,1,3,1500.56721209952
78,1996-08-25,Toluca,1,3,1489.7205315838
79,1996-08-25,Atlante,1,3,1519.71225631668
80,1996-08-25,Atlas,1,3,1519.71225631668
81,1996-08-25,Santos,1,3,1528.8509264762356
82,1996-08-25,Morelia,1,3,1480.5735861571243
83,1996-09-10,Celaya,1,3,1489.4410635506772
84,1996-09-10,Necaxa,1,3,1500.5589364493228
85,1996-08-20,Necaxa,1,4,1510.5511308956538
