,t,j,eql,eqv,gol,gov,date
0,1,1,UAG,Atlas,0,1,1996-08-09
1,1,1,Celaya,Monterrey,0,0,1996-08-10
2,1,1,Cruz Azul,Toros Neza,3,0,1996-08-10
3,1,1,Puebla,Toluca,2,1,1996-08-10
4,1,1,Guadalajara,UNAM,2,0,1996-08-11
5,1,1,Morelia,Leon,1,1,1996-08-11
6,1,1,Pachuca,Necaxa,2,2,1996-08-11
7,1,1,Santos,America,1,0,1996-08-11
8,1,1,Atlante,Veracruz,3,0,1996-08-11
9,1,2,Monterrey,Santos,0,1,1996-08-16
10,1,2,Leon,Guadalajara,0,0,1996-08-17
11,1,2,Toluca,UAG,5,0,1996-08-17
12,1,2,Necaxa,Atlante,1,2,1996-08-17
13,1,2,Veracruz,Celaya,1,1,1996-08-17
14,1,2,Atlas,Pachuca,5,1,1996-08-18
15,1,2,Toros Neza,Puebla,0,3,1996-08-18
16,1,2,UNAM,Cruz Azul,1,2,1996-08-18
17,1,2,America,Morelia,5,1,1996-08-20
18,1,3,Puebla,UNAM,2,1,1996-08-24
19,1,3,Monterrey,Veracruz,2,1,1996-08-24
20,1,3,UAG,Toros Neza,1,2,1996-08-24
21,1,3,Cruz Azul,Leon,2,2,1996-08-24
22,1,3,Guadalajara,America,5,0,1996-08-25
23,1,3,Pachuca,Toluca,3,0,1996-08-25
24,1,3,Atlante,Atlas,1,1,1996-08-25
25,1,3,Santos,Morelia,2,1,1996-08-25
26,1,3,Celaya,Necaxa,1,2,1996-09-10
27,1,4,Necaxa,Monterrey,3,0,1996-08-20
28,1,4,UNAM,UAG,1,2,1996-08-30
29,1,4,Atlas,Celaya,2,1,1996-08-31
30,1,4,Veracruz,Santos,0,0,1996-08-31
31,1,4,Toros Neza,Pachuca,5,2,1996-09-01
32,1,4,Leon,Puebla,1,1,1996-09-01
33,1,4,Morelia,Guadalajara,1,4,1996-09-01
34,1,4,America,Cruz Azul,2,1,1996-09-10
35,1,4,Toluca,Atlante,0,0,1996-09-11
36,1,5,Monterrey,Atlas,0,0,1996-09-06
37,1,5,Celaya,Toluca,0,1,1996-09-07
38,1,5,Cruz Azul,Morelia,1,1,1996-09-07
39,1,5,Veracruz,Necaxa,1,1,1996-09-07
40,1,5,UAG,Leon,0,1,1996-09-07
41,1,5,Puebla,America,1,0,1996-09-07
42,1,5,Atlante,Toros Neza,0,1,1996-09-08
43,1,5,Pachuca,UNAM,0,0,1996-09-08
44,1,5,Santos,Guadalajara,1,1,1996-09-08
45,1,6,Atlas,Veracruz,1,2,1996-09-14
46,1,6,Leon,Pachuca,2,2,1996-09-14
47,1,6,Morelia,Puebla,2,2,1996-09-14
48,1,6,Toluca,Monterrey,1,0,1996-09-14
49,1,6,UNAM,Atlante,1,3,1996-09-15
50,1,6,Toros Neza,Celaya,1,2,1996-09-16
51,1,6,Guadalajara,Cruz Azul,1,0,1996-10-02
52,1,6,America,UAG,2,2,1996-10-09
53,1,6,Necaxa,Santos,0,1,1996-10-24
54,1,7,Santos,Cruz Azul,0,2,1996-09-15
55,1,7,UAG,Morelia,1,0,1996-09-20
56,1,7,Veracruz,Toluca,1,1,1996-09-21
57,1,7,Celaya,UNAM,0,1,1996-09-21
58,1,7,Atlante,Leon,1,0,1996-09-22
59,1,7,Puebla,Guadalajara,1,1,1996-09-24
60,1,7,Monterrey,Toros Neza,5,1,1996-09-25
61,1,7,Pachuca,America,2,2,1996-09-25
62,1,7,Necaxa,Atlas,0,2,1996-09-25
63,1,8,Atlas,Santos,1,1,1996-09-28
64,1,8,Cruz Azul,Puebla,3,1,1996-09-28
65,1,8,Toluca,Necaxa,2,0,1996-09-28
66,1,8,Leon,Celaya,4,1,1996-09-28
67,1,8,Guadalajara,UAG,4,1,1996-09-29
68,1,8,America,Atlante,1,2,1996-09-29
69,1,8,Toros Neza,Veracruz,2,0,1996-09-29
